usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.548"",""0.425"",""0.611"",""0.798""]","[0,1,1,1]",0,40,40,40,1,1,0,,,0,FALSE,3.9776,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.165"",""0.511"",""0.204"",""0.969""]","[1,1,0,1]",0,41,41,41,1,0,0,,,0,FALSE,1.2619,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.250"",""0.368"",""0.832"",""0.464""]","[1,1,1,0]",0,42,42,42,1,0,1,,,0,FALSE,1.5365,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.123"",""0.286"",""0.548"",""0.732""]","[1,1,0,1]",0,43,43,43,1,1,1,,,0,FALSE,1.596,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.250"",""0.368"",""0.204"",""0.926""]","[1,1,0,1]",0,44,44,44,1,0,1,,,0,FALSE,0.6091,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.250"",""0.330"",""0.832"",""0.926""]","[1,0,1,1]",0,45,45,45,1,0,1,,,0,FALSE,0.6565,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.123"",""0.286"",""0.673"",""0.552""]","[1,1,1,0]",0,46,46,46,1,1,1,,,0,FALSE,0.3065,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.200"",""0.286"",""0.673"",""0.732""]","[0,1,1,1]",0,47,47,47,1,1,1,,,0,FALSE,0.6821,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.319"",""0.368"",""0.832"",""0.926""]","[0,1,1,1]",0,48,48,48,1,0,1,,,0,FALSE,0.5513,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.552"",""0.286"",""0.673"",""0.732""]","[0,1,1,1]",0,49,49,49,1,1,1,,,0,FALSE,0.7439,,,,,,,,,,,,,
