usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,8.6071,"[""0.195"",""0.508"",""0.254"",""0.958""]","[1,1,0,1]",0,28,28,28,1,0,1,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,3.4397,"[""0.107"",""0.415"",""0.145"",""0.705""]","[1,1,0,1]",0,29,29,29,1,1,1,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,8.4492,"[""0.767"",""0.369"",""0.545"",""0.804""]","[0,1,1,1]",0,30,30,30,1,1,0,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,4.54,"[""0.324"",""0.460"",""0.069"",""0.920""]","[1,1,0,1]",0,31,31,31,1,0,0,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,6.1339,"[""0.254"",""0.460"",""0.658"",""0.920""]","[0,1,1,1]",0,32,32,32,1,0,0,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,1.7881,"[""0.324"",""0.275"",""0.658"",""0.920""]","[1,0,1,1]",0,33,33,33,1,0,0,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,1.2627,"[""0.107"",""0.415"",""0.159"",""0.705""]","[1,1,0,1]",0,34,34,34,1,1,1,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,1.3568,"[""0.195"",""0.266"",""0.878"",""0.958""]","[1,0,1,1]",0,35,35,35,1,0,1,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,2.6729,"[""0.195"",""0.508"",""0.878"",""0.233""]","[1,1,1,0]",0,36,36,36,1,0,1,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,0.7153,"[""0.324"",""0.460"",""0.658"",""0.069""]","[1,1,1,0]",0,37,37,37,1,0,0,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,2.914,"[""0.266"",""0.415"",""0.606"",""0.705""]","[0,1,1,1]",0,38,38,38,1,1,1,,,0,FALSE,,,,,,,,,,,,,
